match_date,team_home,team_away,match_info_url,group,round
13/09/2016,FC Basel,PFC Ludogorets Razgrad,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-fc-basel-pfc-ludogorets-razgrad/,A,1
13/09/2016,Paris Saint-Germain,Arsenal FC,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-paris-saint-germain-arsenal-fc/,A,1
28/09/2016,Arsenal FC,FC Basel,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-arsenal-fc-fc-basel/,A,2
28/09/2016,PFC Ludogorets Razgrad,Paris Saint-Germain,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-pfc-ludogorets-razgrad-paris-saint-germain/,A,2
19/10/2016,Arsenal FC,PFC Ludogorets Razgrad,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-arsenal-fc-pfc-ludogorets-razgrad/,A,3
19/10/2016,Paris Saint-Germain,FC Basel,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-paris-saint-germain-fc-basel/,A,3
01/11/2016,FC Basel,Paris Saint-Germain,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-fc-basel-paris-saint-germain/,A,4
01/11/2016,PFC Ludogorets Razgrad,Arsenal FC,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-pfc-ludogorets-razgrad-arsenal-fc/,A,4
23/11/2016,Arsenal FC,Paris Saint-Germain,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-arsenal-fc-paris-saint-germain/,A,5
23/11/2016,PFC Ludogorets Razgrad,FC Basel,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-pfc-ludogorets-razgrad-fc-basel/,A,5
06/12/2016,FC Basel,Arsenal FC,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-fc-basel-arsenal-fc/,A,6
06/12/2016,Paris Saint-Germain,PFC Ludogorets Razgrad,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-a-paris-saint-germain-pfc-ludogorets-razgrad/,A,6
13/09/2016,Dinamo Kiev,SSC Napoli,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-dinamo-kiev-ssc-napoli/,B,1
13/09/2016,SL Benfica,Beşiktaş,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-sl-benfica-besiktas/,B,1
28/09/2016,Beşiktaş,Dinamo Kiev,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-besiktas-dinamo-kiev/,B,2
28/09/2016,SSC Napoli,SL Benfica,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-ssc-napoli-sl-benfica/,B,2
19/10/2016,Dinamo Kiev,SL Benfica,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-dinamo-kiev-sl-benfica/,B,3
19/10/2016,SSC Napoli,Beşiktaş,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-ssc-napoli-besiktas/,B,3
01/11/2016,Beşiktaş,SSC Napoli,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-besiktas-ssc-napoli/,B,4
01/11/2016,SL Benfica,Dinamo Kiev,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-sl-benfica-dinamo-kiev/,B,4
23/11/2016,Beşiktaş,SL Benfica,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-besiktas-sl-benfica/,B,5
23/11/2016,SSC Napoli,Dinamo Kiev,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-ssc-napoli-dinamo-kiev/,B,5
06/12/2016,Dinamo Kiev,Beşiktaş,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-dinamo-kiev-besiktas/,B,6
06/12/2016,SL Benfica,SSC Napoli,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-b-sl-benfica-ssc-napoli/,B,6
13/09/2016,FC Barcelona,Celtic FC,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-fc-barcelona-celtic-fc/,C,1
14/09/2016,Manchester City,Bor. Mönchengladbach,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-manchester-city-bor-moenchengladbach/,C,1
28/09/2016,Bor. Mönchengladbach,FC Barcelona,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-bor-moenchengladbach-fc-barcelona/,C,2
28/09/2016,Celtic FC,Manchester City,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-celtic-fc-manchester-city/,C,2
19/10/2016,Celtic FC,Bor. Mönchengladbach,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-celtic-fc-bor-moenchengladbach/,C,3
19/10/2016,FC Barcelona,Manchester City,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-fc-barcelona-manchester-city/,C,3
01/11/2016,Bor. Mönchengladbach,Celtic FC,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-bor-moenchengladbach-celtic-fc/,C,4
01/11/2016,Manchester City,FC Barcelona,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-manchester-city-fc-barcelona/,C,4
23/11/2016,Bor. Mönchengladbach,Manchester City,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-bor-moenchengladbach-manchester-city/,C,5
23/11/2016,Celtic FC,FC Barcelona,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-celtic-fc-fc-barcelona/,C,5
06/12/2016,FC Barcelona,Bor. Mönchengladbach,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-fc-barcelona-bor-moenchengladbach/,C,6
06/12/2016,Manchester City,Celtic FC,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-c-manchester-city-celtic-fc/,C,6
13/09/2016,Bayern München,FK Rostov,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-bayern-muenchen-fk-rostov/,D,1
13/09/2016,PSV Eindhoven,Atlético Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-psv-eindhoven-atletico-madrid/,D,1
28/09/2016,Atlético Madrid,Bayern München,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-atletico-madrid-bayern-muenchen/,D,2
28/09/2016,FK Rostov,PSV Eindhoven,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-fk-rostov-psv-eindhoven/,D,2
19/10/2016,Bayern München,PSV Eindhoven,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-bayern-muenchen-psv-eindhoven/,D,3
19/10/2016,FK Rostov,Atlético Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-fk-rostov-atletico-madrid/,D,3
01/11/2016,Atlético Madrid,FK Rostov,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-atletico-madrid-fk-rostov/,D,4
01/11/2016,PSV Eindhoven,Bayern München,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-psv-eindhoven-bayern-muenchen/,D,4
23/11/2016,FK Rostov,Bayern München,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-fk-rostov-bayern-muenchen/,D,5
23/11/2016,Atlético Madrid,PSV Eindhoven,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-atletico-madrid-psv-eindhoven/,D,5
06/12/2016,Bayern München,Atlético Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-bayern-muenchen-atletico-madrid/,D,6
06/12/2016,PSV Eindhoven,FK Rostov,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-d-psv-eindhoven-fk-rostov/,D,6
14/09/2016,Bayer Leverkusen,CSKA Moskva,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-bayer-leverkusen-cska-moskva/,E,1
14/09/2016,Tottenham Hotspur,AS Monaco,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-tottenham-hotspur-as-monaco/,E,1
27/09/2016,AS Monaco,Bayer Leverkusen,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-as-monaco-bayer-leverkusen/,E,2
27/09/2016,CSKA Moskva,Tottenham Hotspur,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-cska-moskva-tottenham-hotspur/,E,2
18/10/2016,Bayer Leverkusen,Tottenham Hotspur,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-bayer-leverkusen-tottenham-hotspur/,E,3
18/10/2016,CSKA Moskva,AS Monaco,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-cska-moskva-as-monaco/,E,3
02/11/2016,AS Monaco,CSKA Moskva,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-as-monaco-cska-moskva/,E,4
02/11/2016,Tottenham Hotspur,Bayer Leverkusen,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-tottenham-hotspur-bayer-leverkusen/,E,4
22/11/2016,CSKA Moskva,Bayer Leverkusen,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-cska-moskva-bayer-leverkusen/,E,5
22/11/2016,AS Monaco,Tottenham Hotspur,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-as-monaco-tottenham-hotspur/,E,5
07/12/2016,Bayer Leverkusen,AS Monaco,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-bayer-leverkusen-as-monaco/,E,6
07/12/2016,Tottenham Hotspur,CSKA Moskva,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-e-tottenham-hotspur-cska-moskva/,E,6
14/09/2016,Legia Warszawa,Borussia Dortmund,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-legia-warszawa-borussia-dortmund/,F,1
14/09/2016,Real Madrid,Sporting CP,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-real-madrid-sporting-cp/,F,1
27/09/2016,Borussia Dortmund,Real Madrid,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-borussia-dortmund-real-madrid/,F,2
27/09/2016,Sporting CP,Legia Warszawa,https://www.worldfootball.net/report/champions-league-2016-2017-gruppe-f-sporting-cp-legia-warszawa/,F,2
